game_id,hard_codedv4_score,hard_codedv3_score,winner
9j7q0LioDb,20,9,hard_codedv4
dVMbdGD9JL,20,1,hard_codedv4
W-gAqUzRUK,21,9,hard_codedv4
qzNlhxk9jN,22,17,hard_codedv4
6zM21eJH2Y,22,3,hard_codedv4
nRcsol9y4Y,21,11,hard_codedv4
_iXl54Qh7u,21,11,hard_codedv4
PySH9fk7ed,22,12,hard_codedv4
emyOpltpq8,21,16,hard_codedv4
aZRyCrzmwv,21,9,hard_codedv4
doSwtBT_vk,20,17,hard_codedv4
UtW7njPSo3,21,14,hard_codedv4
0YYlH7XBQR,21,16,hard_codedv4
dznJ7e-8N1,22,16,hard_codedv4
urbcmE3pkF,21,16,hard_codedv4
6BVkv3jQtY,22,9,hard_codedv4
8V4DNNTGCY,20,13,hard_codedv4
lV7QmXB82m,22,14,hard_codedv4
4VKaQUCkiP,20,10,hard_codedv4
rK52BlRf3B,22,11,hard_codedv4
L9oJTX_MuS,20,10,hard_codedv4
1qaGcd8ZQy,22,5,hard_codedv4
qEFLF5EDwx,20,17,hard_codedv4
PcSE6yUIFU,21,9,hard_codedv4
5J35lIzIPQ,20,8,hard_codedv4
8XQ-BEnnHb,22,14,hard_codedv4
es9_IfIjOX,20,8,hard_codedv4
_ve4_AZ4Qg,21,14,hard_codedv4
iPrsAWDKi0,20,12,hard_codedv4
T3cRgBpRZL,20,9,hard_codedv4
nDszWG612Q,21,13,hard_codedv4
Kvg_S6m3bf,22,15,hard_codedv4
40Jzw_NtPt,22,16,hard_codedv4
vzlfFVGU06,21,10,hard_codedv4
_bjKTt-ea7,21,14,hard_codedv4
SoeRS5_CN_,21,7,hard_codedv4
WfMOhn6VlY,20,2,hard_codedv4
zhG54lzFqT,20,13,hard_codedv4
mujAlpfHOf,21,5,hard_codedv4
cl1ckdriGk,20,2,hard_codedv4
mZgv5IyiJY,20,12,hard_codedv4
Ju94Vg311j,20,7,hard_codedv4
GK2TihlpqE,21,15,hard_codedv4
CtwOFYqXQg,21,9,hard_codedv4
1GJWuXyodU,21,8,hard_codedv4
G3VZHetGnL,21,10,hard_codedv4
mqQN---KaC,22,1,hard_codedv4
MtdmW3OigF,21,11,hard_codedv4
2Bo7tgKy1G,21,6,hard_codedv4
YkVm0WTQim,21,15,hard_codedv4
duRiNEgcfP,20,15,hard_codedv4
0ur1CMUM57,21,12,hard_codedv4
c8PyaU5GBF,20,13,hard_codedv4
9ueFcXyKkQ,22,12,hard_codedv4
O8_fgaeVJZ,20,12,hard_codedv4
BcyEvpRYwc,20,16,hard_codedv4
82hgqCgUvn,22,12,hard_codedv4
R_9-IuXsAw,21,9,hard_codedv4
-az69RdoaD,22,17,hard_codedv4
N50TUVwWSN,20,12,hard_codedv4
8xaOHqdv1O,20,16,hard_codedv4
OgXdg3ghg-,21,5,hard_codedv4
jo6SX8J9jD,21,12,hard_codedv4
TSDDa_-SWz,21,13,hard_codedv4
6onWcZ2ORS,21,11,hard_codedv4
g730ANbeK_,20,8,hard_codedv4
ORNeit7Wis,22,8,hard_codedv4
UpJ-_yyPWA,21,8,hard_codedv4
Ft2UoBbUOa,20,12,hard_codedv4
aSH9y08QON,22,13,hard_codedv4
olPabN-JhM,22,7,hard_codedv4
Ak4D2zOhyS,20,11,hard_codedv4
iDyWIOdm-Y,21,15,hard_codedv4
TbTdP6ZCBE,17,20,hard_codedv3
9ogrbaEz0C,20,8,hard_codedv4
GZykcNiwl1,22,14,hard_codedv4
cXEwucBtP-,21,7,hard_codedv4
Bh3LWnvdEJ,20,15,hard_codedv4
awnRzlHND-,20,7,hard_codedv4
ssGgO_Vqfo,21,7,hard_codedv4
k-5cOsNGBY,21,14,hard_codedv4
T-RfwZGCrH,22,2,hard_codedv4
CogPerS41X,21,9,hard_codedv4
98P5IoLI4B,21,5,hard_codedv4
n8Egwef1Yb,20,8,hard_codedv4
03E2TaWA1L,21,7,hard_codedv4
-6Il-9P34B,22,9,hard_codedv4
WpoP7tZhDG,21,10,hard_codedv4
cuvW0O9osX,20,13,hard_codedv4
Pt5ySobe8n,21,13,hard_codedv4
0_eg-pQEvU,20,11,hard_codedv4
wVJk2SVr0o,21,10,hard_codedv4
U616waPvaT,22,13,hard_codedv4
K9RST2Xvg-,22,10,hard_codedv4
zVrciZ6_h4,21,14,hard_codedv4
w_D_K2Dd2-,21,11,hard_codedv4
GJXlbj2toN,21,12,hard_codedv4
6Vt_nqLy7A,20,11,hard_codedv4
X9_Huc2IVn,22,8,hard_codedv4
-1pCv_JSYO,20,12,hard_codedv4
