game_id,hard_codedv4_score,hard_codedv3_score,winner
evElXdfD-m,22,1,hard_codedv4
WC5POno0u_,20,3,hard_codedv4
kRtCMgiiPJ,21,11,hard_codedv4
v1aCNA01IT,21,10,hard_codedv4
pGvRi6TVxm,20,12,hard_codedv4
2T8C8p-1FI,22,3,hard_codedv4
9Nsbqgdo_Q,20,14,hard_codedv4
ZOYsvknZ7g,21,15,hard_codedv4
dqx-SozUXf,22,15,hard_codedv4
mG78hCoXXm,21,14,hard_codedv4
ogq69V3QPz,20,11,hard_codedv4
P3CpxnicED,22,8,hard_codedv4
aUyP23YEL0,21,11,hard_codedv4
fXa7zcXIWN,22,13,hard_codedv4
pkFSPVlQTk,22,15,hard_codedv4
j8ttCd0eDh,20,9,hard_codedv4
4tC0m5s_r9,21,10,hard_codedv4
R1u-XZnEJa,21,8,hard_codedv4
oYv4fvLitM,21,9,hard_codedv4
eurKllUWPI,20,13,hard_codedv4
rapyjITPss,20,18,hard_codedv4
FrYYenpeHj,20,12,hard_codedv4
f1fpLglhf-,20,8,hard_codedv4
1LvZfX2C_T,21,14,hard_codedv4
rXPD60hjwC,20,9,hard_codedv4
D1WLVj5z5k,20,10,hard_codedv4
wmiC1tf3uA,20,13,hard_codedv4
8w61qXBuDd,20,12,hard_codedv4
gV3hFBYUMQ,20,8,hard_codedv4
nQwcbOpLwx,21,8,hard_codedv4
jjCr0qhK6x,20,5,hard_codedv4
r0LO3gxRT2,20,10,hard_codedv4
hFGImOH3kz,22,9,hard_codedv4
bU9fEt-Z9W,21,17,hard_codedv4
bq2GDwt5bA,20,6,hard_codedv4
Gz-7NiS9IQ,21,16,hard_codedv4
L4PsM5aTCp,21,11,hard_codedv4
jgD7E9pxVQ,22,10,hard_codedv4
RPxbAzRAac,21,16,hard_codedv4
jw8NMy045d,20,6,hard_codedv4
EtNzlJ4vsn,20,10,hard_codedv4
3KHfjGFFLr,21,7,hard_codedv4
BOTkav_Ui-,20,13,hard_codedv4
Y76Q_Ind4_,21,10,hard_codedv4
gn0T8m80bf,21,11,hard_codedv4
c1VaH9O4J4,21,11,hard_codedv4
M6lgz_TUEs,22,7,hard_codedv4
8TjGPd93gv,21,13,hard_codedv4
o_ZIRNBfR8,21,5,hard_codedv4
kVrJWZlPgN,20,14,hard_codedv4
LxuobRmgtx,22,13,hard_codedv4
ksqW7gz4DC,20,13,hard_codedv4
GVVnE798wg,21,9,hard_codedv4
WTWfY1EsSV,21,16,hard_codedv4
FJyO2B3CyO,22,8,hard_codedv4
2PSJv8y-qb,22,10,hard_codedv4
lh3uNL4Xaj,20,11,hard_codedv4
2Svl_R9VD4,20,0,hard_codedv4
lq-J7p0MTj,22,10,hard_codedv4
q_Tpr_xko9,20,10,hard_codedv4
6c7ZG-RuUc,20,13,hard_codedv4
lSMBBFYB2Y,22,13,hard_codedv4
f1SMV4fgi0,22,14,hard_codedv4
3mfPrU7vXq,21,7,hard_codedv4
rgKm3JINTt,20,10,hard_codedv4
MAr40qdQxp,20,15,hard_codedv4
mmuEERigV2,21,10,hard_codedv4
WcjgNzZ6Vw,22,14,hard_codedv4
wbKmY22TJY,22,4,hard_codedv4
QJPdxWWZOY,21,8,hard_codedv4
8Hg9GUUFl8,22,13,hard_codedv4
h-spWTQm3M,22,9,hard_codedv4
_H2sCzPVh1,22,7,hard_codedv4
sEQL22aobT,22,13,hard_codedv4
d_nr1pa5wa,20,14,hard_codedv4
hFRWHiEMem,20,11,hard_codedv4
3ZNQGKz-vm,22,6,hard_codedv4
eh669bVnOY,20,10,hard_codedv4
HP-gJSkbgb,22,12,hard_codedv4
8ZKV14wJlc,20,11,hard_codedv4
K6dwKojqNm,22,16,hard_codedv4
8R-l8XdcQF,20,4,hard_codedv4
RNpFglord7,22,11,hard_codedv4
qkuwfC448l,20,3,hard_codedv4
ZgGMIexMYs,21,11,hard_codedv4
lzj7i11g0C,22,11,hard_codedv4
OryBfBFXq8,22,12,hard_codedv4
3XYKZfxgHJ,20,8,hard_codedv4
SBRD7-Q-Fn,20,15,hard_codedv4
-k3HIzPgdu,21,6,hard_codedv4
EWzJvBHjtP,21,5,hard_codedv4
Ag5UTVddVw,21,10,hard_codedv4
vfqKSt7QYA,20,9,hard_codedv4
lU6Ju0KKka,20,12,hard_codedv4
Zo8pmDXGKS,20,11,hard_codedv4
TwWiTGNHbw,20,4,hard_codedv4
QX1VKREdbx,22,18,hard_codedv4
1eGCZP6qGW,20,12,hard_codedv4
v75hUtPwBE,20,14,hard_codedv4
LDdIXxGArT,21,10,hard_codedv4
