game_id,hard_codedv4_score,hard_codedv3_score,winner
h40uU7bVPx,21,6,hard_codedv4
_63Ce4EcxS,20,10,hard_codedv4
xzDVXivcJf,21,11,hard_codedv4
2NFcz_CXSl,22,9,hard_codedv4
KNR_eyxY07,21,11,hard_codedv4
LH2HKvYom9,22,6,hard_codedv4
ZDgQSwmMTO,21,9,hard_codedv4
NTO2Rca2Od,21,4,hard_codedv4
WIOhwN5HSe,21,9,hard_codedv4
613LRgZxsB,20,7,hard_codedv4
WK84htkOVR,20,9,hard_codedv4
GEsplpWhg3,21,9,hard_codedv4
pdKLCBmtmJ,22,7,hard_codedv4
ZiEhoxjFVM,22,14,hard_codedv4
w2dkSs9K_c,22,11,hard_codedv4
7DBQ9gZRaB,22,12,hard_codedv4
xKFM5dJEqA,20,12,hard_codedv4
Mjl-SBwtuE,21,4,hard_codedv4
XGi-Vtl3qQ,22,14,hard_codedv4
51PSo80LaP,20,13,hard_codedv4
WcAsZLNpzL,21,15,hard_codedv4
9Nacek0GBO,21,12,hard_codedv4
i0AtnR5JIc,20,14,hard_codedv4
M2oJ1neDuF,21,2,hard_codedv4
5ZbvwqNT_2,21,16,hard_codedv4
k7Wax-j4tM,21,6,hard_codedv4
1zJbykrqPh,21,14,hard_codedv4
EZD64QtjBp,22,9,hard_codedv4
VRx-9_cx33,20,11,hard_codedv4
4L82UHfw-k,20,6,hard_codedv4
Ub4ztX30nW,21,13,hard_codedv4
YUgje7OqNr,21,12,hard_codedv4
zP0p3LlePd,21,19,hard_codedv4
oqKodR5Wr3,21,14,hard_codedv4
hrMKWF1NSC,21,12,hard_codedv4
7AD9HnsmaL,21,2,hard_codedv4
aqTSXuaCvI,20,10,hard_codedv4
xTHKVe-xye,22,6,hard_codedv4
p7JAMqdxQB,22,7,hard_codedv4
52-6-g2tYW,21,12,hard_codedv4
lTGyFvrlcm,21,5,hard_codedv4
tbcv-w5y4l,20,9,hard_codedv4
5uGSoyNLgc,21,10,hard_codedv4
fxbkcSeXtd,20,12,hard_codedv4
O-8unSAQI9,21,15,hard_codedv4
tISD0VK3Vm,20,16,hard_codedv4
3am3wGEJBw,22,4,hard_codedv4
mey6LIGSSL,22,11,hard_codedv4
tuxuvzuGM2,20,14,hard_codedv4
Kh4fPFiany,20,12,hard_codedv4
WtPJMbfZ0S,21,12,hard_codedv4
ZdKKxIUO6o,22,10,hard_codedv4
_uGQyGxmok,21,13,hard_codedv4
G_ZuguvBTZ,21,11,hard_codedv4
SHwjWWglL3,22,15,hard_codedv4
emqoRvCqco,21,10,hard_codedv4
HSqfP-umwL,22,13,hard_codedv4
-58syfMySC,21,6,hard_codedv4
WHWZI64kkj,21,14,hard_codedv4
ZLSCd4fcmY,20,12,hard_codedv4
Jchxm7jhfX,20,10,hard_codedv4
jREcBzTFAl,20,15,hard_codedv4
AG1fK4R-zT,21,10,hard_codedv4
b4mcL5BbUz,22,18,hard_codedv4
Fh4f__7sWu,21,6,hard_codedv4
oP37dqb4bD,21,13,hard_codedv4
O7fbz7LV6i,21,11,hard_codedv4
NOHGoubw5b,21,12,hard_codedv4
N3JPx6bwaQ,20,6,hard_codedv4
cSBClPB613,22,16,hard_codedv4
T3Dqlr-Ivr,20,14,hard_codedv4
DY4gJUXHs6,21,8,hard_codedv4
Uvr-Ba22zn,20,18,hard_codedv4
9MTAHeIxB3,22,17,hard_codedv4
36OKI8kDep,22,10,hard_codedv4
4F4DTxu_uN,22,4,hard_codedv4
az5PiBsPtx,22,7,hard_codedv4
CRugUy2fnt,21,12,hard_codedv4
X79XliavBR,21,6,hard_codedv4
n5fkTI2XBl,20,10,hard_codedv4
vCrPfCG0YW,22,7,hard_codedv4
qejp2AjeRn,21,8,hard_codedv4
O6rGP5SprY,21,11,hard_codedv4
U5XYNf_Kos,20,9,hard_codedv4
Epb8TapLor,20,13,hard_codedv4
N2CNg5DfXB,20,11,hard_codedv4
dnpFQJJwt4,20,7,hard_codedv4
gdzRUgPmvm,21,5,hard_codedv4
xuj4kQK37y,21,9,hard_codedv4
IwcXUz514V,21,9,hard_codedv4
nwxfMCZBM8,18,21,hard_codedv3
Lcw79ebFG_,20,14,hard_codedv4
VhAMx8UUlc,20,8,hard_codedv4
viEWJ9615Q,22,11,hard_codedv4
ebBm6m5JLn,20,3,hard_codedv4
BgURxlaXYd,21,15,hard_codedv4
1CyBPnht8M,20,8,hard_codedv4
ZAfBQ6R47Y,22,7,hard_codedv4
heh16FjWKQ,22,8,hard_codedv4
xWdborAFNL,21,8,hard_codedv4
