game_id,hard_codedv4_score,hard_codedv3_score,winner
k4sWqRPB9G,21,11,hard_codedv4
SnufE045-G,21,13,hard_codedv4
K7VN0kVHOZ,20,4,hard_codedv4
iH1rScDygk,20,11,hard_codedv4
xlDN92QYH9,20,11,hard_codedv4
qMVwbHbnfe,22,10,hard_codedv4
46oI3ATR4H,22,15,hard_codedv4
RyyaT60W8q,21,13,hard_codedv4
NwsUY7ugyr,20,16,hard_codedv4
-YG86ZPkSN,21,12,hard_codedv4
mTl7fzz2E5,21,7,hard_codedv4
oOET2UI9bN,22,14,hard_codedv4
jEqwc3rwlp,20,12,hard_codedv4
yuVODfu4lS,20,9,hard_codedv4
H57EHGP4EZ,22,11,hard_codedv4
6M1PRch-E4,22,8,hard_codedv4
wTRPGek7jS,20,12,hard_codedv4
7EivHrx4FD,20,14,hard_codedv4
rzx7tgZcC7,22,10,hard_codedv4
EqHAx-6bux,21,11,hard_codedv4
3u1BkQdhcK,22,13,hard_codedv4
mlHNg5bXbP,22,15,hard_codedv4
Zei4tTo6tn,21,11,hard_codedv4
WPPnFcZXY8,20,11,hard_codedv4
ifWjICFS_y,20,18,hard_codedv4
vbzdgNr5N7,21,13,hard_codedv4
cXF6mtjpzM,20,9,hard_codedv4
1osqQ5Gfui,20,12,hard_codedv4
4QGEwtssc-,21,9,hard_codedv4
UWuwo5rGwY,20,13,hard_codedv4
4gYgva3P6r,20,7,hard_codedv4
X356Hz0C8w,21,9,hard_codedv4
Ad_t3jK4cI,20,10,hard_codedv4
FNHgu51lrw,20,5,hard_codedv4
rVLYbnvtjY,20,10,hard_codedv4
caRUdA1dzx,22,14,hard_codedv4
rqzwjvlmj-,20,8,hard_codedv4
-_2ABze5PG,22,8,hard_codedv4
4t7neTRp0S,20,12,hard_codedv4
1vSohdX1b8,20,10,hard_codedv4
REwHfNxcyR,21,16,hard_codedv4
na8qN4UocA,22,10,hard_codedv4
N1K_g2k3Ib,22,10,hard_codedv4
iw5VeFlm-W,21,13,hard_codedv4
BGGKpUwsn6,20,16,hard_codedv4
6xLYeHHqWG,20,14,hard_codedv4
PM3N2d-GXR,21,6,hard_codedv4
Aaom3TAu1h,21,11,hard_codedv4
LeultUUAGc,22,11,hard_codedv4
VQFh_mIGWN,22,4,hard_codedv4
bmfie-4hpD,20,10,hard_codedv4
j5OBFywUvK,22,4,hard_codedv4
cdanIhQtf_,20,10,hard_codedv4
mBXPIE9azE,22,16,hard_codedv4
-2llmqS0cE,21,10,hard_codedv4
_fgD9jJTWe,21,11,hard_codedv4
y6xucc6MBm,21,15,hard_codedv4
gHqc420uwk,20,17,hard_codedv4
RC3IPramMi,22,13,hard_codedv4
BR7IWDZXz2,20,10,hard_codedv4
f9PAfaWKHJ,21,12,hard_codedv4
jWdHgQxqMS,21,0,hard_codedv4
tMMsPw0bd-,22,16,hard_codedv4
cA5bbizoPo,21,16,hard_codedv4
1ZQ3O0iCUR,22,14,hard_codedv4
PKLu3Mjadz,20,11,hard_codedv4
OuBGHCCa85,20,7,hard_codedv4
rDCM7PrQdd,21,3,hard_codedv4
PZWF3cGhKW,22,16,hard_codedv4
sAgrBFH_hv,21,12,hard_codedv4
jDQgwr9b6P,21,14,hard_codedv4
ZYs_KJ2VTH,21,13,hard_codedv4
a4ueFPQmdi,21,13,hard_codedv4
1_-wFuyyLT,21,13,hard_codedv4
SJezOEYPmo,21,8,hard_codedv4
VlhNIghFbN,20,11,hard_codedv4
pv-C3p_LgI,20,7,hard_codedv4
buwhIc0ZLl,20,10,hard_codedv4
nNsw3S8PnY,20,5,hard_codedv4
S4b2Awt-Yq,21,10,hard_codedv4
2XfcaOYPDQ,20,11,hard_codedv4
HZBJOw3Vxy,18,21,hard_codedv3
wbg2T1R4Wg,20,13,hard_codedv4
WCgLVaaOQR,21,2,hard_codedv4
2c-vAGru7s,20,8,hard_codedv4
iHlC3tHZTQ,21,6,hard_codedv4
JZiz7dIxX3,19,21,hard_codedv3
DrQRzc5AZQ,20,8,hard_codedv4
7a1z_eaR9J,20,15,hard_codedv4
0R8nnSDIK1,22,11,hard_codedv4
jrzY3z8YyQ,20,8,hard_codedv4
jDsXE1mde0,20,10,hard_codedv4
hzpsEuksVE,20,13,hard_codedv4
qsP1nXpais,21,10,hard_codedv4
84EXFreZ10,22,5,hard_codedv4
SyLuIiaPmc,20,8,hard_codedv4
nikeE4kP_b,20,8,hard_codedv4
e9ePM-GWEq,20,10,hard_codedv4
X26iX0z15r,20,7,hard_codedv4
uCZH18FGl7,20,3,hard_codedv4
